,Gaia2,RAdeg,DEdeg,PDis,plx,e_plx,Gmag,e_Gmag,Bpmag,e_Bpmag,Rpmag,e_Rpmag,Sep,pmRA,e_pmRA,pmDE,e_pmDE,Age,PreAge,CoolAge,[Fe/H],DM,Av,e_Age,e_PreAge,e_CoolAge,e_[Fe/H],e_DM,e_Av,Nb,PCont
647,3890086260924110976,155.668982,16.50293,0.0028399999999999996,5.832999999999999,49.107,17.055999999999997,0.0018,18.612000000000002,0.011000000000000001,15.832,0.005,1750.8438,-38.196999999999996,0.203,-3.987,0.215,1.646,0.8959999999999999,0.75,-0.7440000000000001,6.287000000000001,0.073,0.28300000000000003,0.306,0.038,0.643,0.044000000000000004,0.01,7.0,0.0
648,3935376935874076160,188.697521,16.788871,0.0025800000000000003,5.414,47.053999999999995,16.852,0.0012,18.358,0.018000000000000002,15.655999999999999,0.002,1717.141,-85.301,0.225,-14.602,0.14300000000000002,1.8430000000000002,1.3980000000000001,0.445,-0.812,6.426,0.053,0.486,0.499,0.022000000000000002,0.654,0.046,0.009000000000000001,7.0,0.0
649,741037684269171072,155.55260800000002,28.600731,0.0036799999999999997,5.77,100.044,15.343,0.0008,16.598,0.006,14.232000000000001,0.003,2298.3345,-54.598,0.099,-11.558,0.087,1.242,0.429,0.813,-0.7020000000000001,6.278,0.046,0.08800000000000001,0.096,0.025,0.632,0.022000000000000002,0.01,7.0,0.0
650,2739666733683035008,357.533897,2.1349099999999996,0.00283,5.74,64.708,16.689,0.0007,18.027,0.008,15.54,0.002,1776.8589,71.388,0.17800000000000002,62.053999999999995,0.105,2.517,2.253,0.264,-0.787,6.311,0.043,0.7959999999999999,0.799,0.011000000000000001,0.643,0.031,0.008,7.0,0.0
651,4439127980667256064,249.47138399999997,7.4913419999999995,0.0017100000000000001,5.185,51.29,17.063,0.0008,18.567,0.012,15.862,0.003,1189.2303,17.566,0.18899999999999997,-30.974,0.147,7.191,6.044,1.148,-0.843,6.715,0.095,2.489,2.515,0.039,0.607,0.037000000000000005,0.01,7.0,0.0
652,5059839299984622976,51.12143,-29.427552000000002,0.00456,5.59,70.922,17.046,0.0009,18.458,0.013999999999999999,15.860999999999999,0.002,2934.9871,2.412,0.092,-12.882,0.11,1.755,1.386,0.369,-0.6920000000000001,6.325,0.013000000000000001,0.39399999999999996,0.39799999999999996,0.013999999999999999,0.655,0.032,0.006999999999999999,7.0,0.002
653,1642105639533867776,241.99323700000002,66.11946999999999,0.00391,5.709,136.783,15.562999999999999,0.0006,16.959,0.005,14.389000000000001,0.001,2464.1913,-34.876999999999995,0.10099999999999999,-0.716,0.092,3.3939999999999997,3.303,0.092,-0.736,6.313,0.033,1.244,1.242,0.004,0.645,0.016,0.008,7.0,0.0
654,1279432210147575552,218.42262999999997,26.277156,0.00227,5.71,93.23100000000001,16.293,0.001,17.447,0.01,15.235999999999999,0.002,1434.2736,-79.546,0.126,80.732,0.134,1.9580000000000002,1.577,0.381,-0.75,6.284,0.05,0.426,0.428,0.01,0.633,0.022000000000000002,0.009000000000000001,7.0,0.0
655,293251570878606336,19.177145,24.043175,0.00336,5.479,40.034,17.51,0.0015,19.238,0.042,16.262,0.005,2207.6407,1.472,0.251,-32.545,0.20600000000000002,1.3969999999999998,0.596,0.8009999999999999,-0.746,6.486000000000001,0.061,0.16399999999999998,0.191,0.05,0.65,0.053,0.01,7.0,0.0
656,2321166632188021248,2.653666,-29.070852000000002,0.0043100000000000005,4.978,82.171,15.517000000000001,0.0005,16.775,0.004,14.407,0.002,3113.8566,13.686,0.08900000000000001,5.34,0.09300000000000001,2.122,0.21600000000000003,1.906,-0.6829999999999999,6.553999999999999,0.052000000000000005,0.091,0.04,0.109,0.648,0.027999999999999997,0.009000000000000001,7.0,0.003
657,383592020358523648,4.879713,41.830824,0.00228,5.364,92.745,15.915,0.0005,17.112000000000002,0.004,14.828,0.001,1533.3032,-32.301,0.08,-29.771,0.036000000000000004,4.671,2.6310000000000002,2.041,-0.7120000000000001,6.54,0.105,1.8419999999999999,1.944,0.14800000000000002,0.648,0.024,0.022000000000000002,7.0,0.0
658,3904960385505557376,182.22431,8.381419000000001,0.00212,6.122000000000001,33.854,17.732,0.0013,19.339000000000002,0.036000000000000004,16.486,0.006,1247.9898,-9.613,0.332,-22.122,0.183,2.276,0.33299999999999996,1.943,-0.6779999999999999,6.114,0.065,0.18100000000000002,0.085,0.23,0.626,0.061,0.009000000000000001,7.0,0.0
659,2698584271983896576,323.870885,4.731572,0.02365,5.994,45.632,16.714000000000002,0.0014,18.54,0.036000000000000004,15.425,0.005,14203.5507,39.847,0.21600000000000003,12.046,0.19,1.946,1.656,0.289,-0.765,6.273,0.07200000000000001,0.5720000000000001,0.579,0.016,0.638,0.046,0.009000000000000001,7.0,0.132
660,1725244829015287808,200.63114099999999,82.670076,0.00119,5.486000000000001,45.388000000000005,17.808,0.0016,19.433,0.040999999999999995,16.575,0.005,778.1589,-22.665,0.249,40.035,0.182,3.156,1.3530000000000002,1.8030000000000002,-0.7240000000000001,6.595,0.16,0.53,0.614,0.136,0.652,0.047,0.013999999999999999,7.0,0.0
661,902211657812522240,121.44360400000001,32.803277,0.0020399999999999997,4.955,83.715,15.915999999999999,0.0009,17.235,0.008,14.79,0.003,1485.1471,23.234,0.09300000000000001,-8.45,0.067,3.5810000000000004,2.476,1.105,-0.752,6.699,0.095,1.0290000000000001,1.0490000000000002,0.031,0.633,0.025,0.011000000000000001,7.0,0.0
662,2783805803344736256,18.163354,15.934947,0.0069,5.523,53.841,16.923,0.0013,18.387999999999998,0.019,15.725,0.004,4495.8119,47.552,0.205,13.095999999999998,0.142,2.6489999999999996,1.7519999999999998,0.897,-0.737,6.5489999999999995,0.067,0.649,0.6729999999999999,0.038,0.657,0.040999999999999995,0.011000000000000001,7.0,0.008
663,6306186204523283328,223.533873,-17.879425,0.00085,5.8870000000000005,47.608000000000004,16.977,0.0018,18.548,0.037000000000000005,15.725999999999999,0.006,520.4153,13.6,0.256,-34.066,0.19,4.713,4.401,0.312,-0.871,6.452000000000001,0.048,2.136,2.1430000000000002,0.016,0.591,0.045,0.011000000000000001,7.0,0.0
664,2705952438703950464,338.171133,5.1768790000000005,0.00149,6.235,34.935,17.699,0.0019,19.582,0.027999999999999997,16.404,0.006,858.4872,31.636999999999997,0.33399999999999996,7.242000000000001,0.247,4.687,3.123,1.564,-0.777,6.422000000000001,0.094,1.8119999999999998,1.891,0.109,0.636,0.062,0.011000000000000001,7.0,0.0
665,916345639268513920,126.34683100000001,43.607893,0.007509999999999999,5.212000000000001,118.09200000000001,10.022,0.0004,10.315999999999999,0.001,9.597000000000001,0.001,5186.2474,-33.297,0.07,-3.65,0.049,1.5419999999999998,1.0290000000000001,0.513,-0.74,6.559,0.048,0.301,0.305,0.011000000000000001,0.639,0.019,0.011000000000000001,7.0,0.013999999999999999
666,3066815801368218368,126.53923999999999,-3.4182300000000003,0.0018100000000000002,5.391,62.125,16.66,0.0007,18.125999999999998,0.012,15.427,0.002,1210.9649,-56.593,0.141,15.353,0.094,2.765,0.313,2.452,-0.625,6.48,0.138,0.14400000000000002,0.07400000000000001,0.18100000000000002,0.628,0.033,0.013000000000000001,7.0,0.0
667,2314374055510129152,359.852582,-31.979917999999998,0.0016300000000000002,5.757999999999999,101.25399999999999,15.687000000000001,0.0007,16.899,0.006,14.600999999999999,0.002,1018.994,-4.53,0.114,-5.917000000000001,0.067,3.7969999999999997,3.088,0.7090000000000001,-0.8029999999999999,6.2410000000000005,0.042,2.004,2.013,0.018000000000000002,0.645,0.022000000000000002,0.011000000000000001,7.0,0.0
668,2412893866476122496,346.91470400000003,-12.677816,0.00463,5.252000000000001,44.556999999999995,16.104,0.0012,17.365,0.02,14.969000000000001,0.003,3170.8157,-27.03,0.175,-16.787,0.192,2.3680000000000003,1.4480000000000002,0.92,-0.728,6.497000000000001,0.087,0.63,0.66,0.048,0.631,0.048,0.012,7.0,0.003
669,1660083822878738816,211.327151,59.692012,0.00195,5.794,184.865,15.056,0.0005,16.142,0.006999999999999999,14.013,0.002,1209.5237,36.83,0.07,-51.047,0.052000000000000005,2.521,2.104,0.41700000000000004,-0.728,6.229,0.059000000000000004,0.667,0.667,0.006,0.631,0.012,0.009000000000000001,7.0,0.0
