designation,source_id,bp_rp,bp_g,g_rp,l,b
Gaia DR2 3843636017819394176,3843636017819394176,0.8506689,0.35354328,0.49712563,228.64517973801009,30.306382911833985
Gaia DR2 4447660805076826880,4447660805076826880,2.6806679,1.4902878,1.1903801,28.63851780153972,32.10527554958425
Gaia DR2 1725442573605148672,1725442573605148672,2.3255281,1.2232037,1.1023245,119.50503210713151,33.71813808345622
Gaia DR2 1136037713288593280,1136037713288593280,2.6086998,1.4308834,1.1778164,140.95689603206353,29.087092532952987
Gaia DR2 637613634830679424,637613634830679424,2.213643,1.1542835,1.0593596,208.61148663336047,41.268103946940435
Gaia DR2 379965384333378304,379965384333378304,2.429266,1.3035069,1.1257591,115.91683455706502,-22.705724652972055
Gaia DR2 1358171364549534720,1358171364549534720,1.3477268,0.61215115,0.7355757,68.22744624071292,39.07280445374815
Gaia DR2 1350211759358418176,1350211759358418176,1.4246988,0.65292645,0.7717724,71.8199501290153,29.803058100781495
Gaia DR2 397611927484416512,397611927484416512,2.2988873,1.2049503,1.0939369,128.51039853663772,-17.774596626442136
Gaia DR2 1556281640223823360,1556281640223823360,2.4509277,1.278326,1.1726017,114.53607545510589,67.62099730526094
Gaia DR2 1596366265055934336,1596366265055934336,2.2362785,1.1622581,1.0740204,86.11260438709769,51.254047983391416
Gaia DR2 2661627280992564096,2661627280992564096,1.33706,0.6077223,0.7293377,88.84675112311157,-49.986045162470916
Gaia DR2 5736350486517580544,5736350486517580544,2.2858715,1.1861591,1.0997124,240.4099004187696,22.88986411419157
Gaia DR2 1919903535827752704,1919903535827752704,2.5542088,1.3844414,1.1697674,106.69042348484304,-21.48971227185664
Gaia DR2 1530396941780930048,1530396941780930048,1.4973698,0.695899,0.80147076,122.37314123294983,72.35314463122259
Gaia DR2 1369123153197344640,1369123153197344640,2.1677494,1.1193142,1.0484352,48.570280436841976,52.00744043705034
Gaia DR2 1241785722286765312,1241785722286765312,2.3097973,1.2133884,1.0964088,29.223606462755097,64.25826129528457
Gaia DR2 1396994806593259904,1396994806593259904,2.6061363,1.4004211,1.2057152,71.56946303912758,50.27131013345316
