,Gaia2,RAdeg,DEdeg,PDis,plx,e_plx,Gmag,e_Gmag,Bpmag,e_Bpmag,Rpmag,e_Rpmag,Sep,pmRA,e_pmRA,pmDE,e_pmDE,RVel,e_RVel,Age,PreAge,CoolAge,[Fe/H],DM,Av,e_Age,e_PreAge,e_CoolAge,e_[Fe/H],e_DM,e_Av,Nb,PCont
2823,837760,216.556043,30.867259,0.00403,6.818,198.517,13.817,0.0005,14.991,0.002,12.744,0.002,2293.2092,-35.41,0.06,-4.141,0.062,0.0,0.0,1.438,0.362,1.076,-0.603,5.886,0.04,0.065,0.072,0.022,0.64,0.011,0.008,7,0.0
2824,3359360,169.510323,48.740279,0.00325,6.819,268.103,13.724,0.0003,14.586,0.002,12.822,0.001,1729.2412,-20.573,0.024,-10.585,0.028,0.0,0.0,2.205,1.693,0.512,-0.677,5.868,0.048,0.458,0.46,0.005,0.637,0.008,0.007,7,0.0
2825,467200,356.558262,-20.178469,0.00163,6.834,69.433,15.881,0.0012,17.294,0.007,14.712,0.002,858.4292,8.47,0.129,-1.827,0.126,0.0,0.0,2.435,2.054,0.38,-0.751,5.91,0.048,0.686,0.691,0.013,0.64,0.032,0.008,7,0.0
2826,1172992,160.056639,53.944919,0.00308,6.854,177.966,12.873,0.0004,13.596,0.002,12.067,0.001,1623.3342,-8.109,0.05,-27.775,0.053,-12.649,2.598,1.207,1.072,0.135,-0.775,5.874,0.047,0.319,0.317,0.005,0.641,0.012,0.008,7,0.0
2827,9067136,253.342464,14.922635,0.02215,6.892,205.734,12.102,0.0002,12.639,0.001,11.433,0.001,10939.2147,-87.649,0.037,36.803,0.034,0.0,0.0,1.583,0.553,1.03,-0.672,6.074,0.033,0.129,0.136,0.019,0.663,0.01,0.01,7,0.095
2828,461440,211.963943,30.193998,0.00345,6.909,39.741,18.115,0.0016,19.918,0.069,16.785,0.006,1826.779,-24.584,0.326,-22.212,0.279,0.0,0.0,0.474,0.065,0.408,-0.662,5.874,0.034,0.022,0.005,0.021,0.645,0.049,0.008,7,0.0
2829,171264,154.077284,4.295121,0.00081,6.918,45.933,16.817,0.0014,18.375,0.034,15.546,0.003,404.1785,-72.082,0.204,8.471,0.218,0.0,0.0,1.067,0.829,0.238,-0.73,5.905,0.024,0.271,0.278,0.015,0.64,0.046,0.009,7,0.0
2830,943744,11.921276,-28.059028,0.01709,6.932,267.651,13.553,0.0005,14.416,0.003,12.648,0.002,8973.1575,-39.01,0.033,-83.499,0.025,0.0,0.0,1.716,1.229,0.488,-0.793,5.834,0.046,0.316,0.317,0.005,0.639,0.008,0.007,7,0.073
2831,274432,148.180845,25.35912,0.00994,6.949,27.366,17.948,0.0015,19.871,0.045,16.622,0.005,5255.569,-33.968,0.314,-14.503,0.246,0.0,0.0,2.518,2.477,0.041,-0.697,5.911,0.037,1.083,1.083,0.003,0.655,0.032,0.008,7,0.015
2832,1810560,64.65333,-31.114382,0.03358,7.072,441.192,13.521,0.0003,14.43,0.003,12.586,0.001,16870.6031,81.039,0.025,6.465,0.035,0.0,0.0,3.887,2.355,1.532,-0.727,5.911,0.117,0.918,0.945,0.039,0.639,0.005,0.013,7,0.163
2833,2378240,171.006092,-28.179937,0.00387,7.099,93.29,15.951,0.0009,17.349,0.005,14.79,0.002,1907.8013,-15.97,0.113,1.676,0.106,0.0,0.0,2.891,2.616,0.274,-0.762,5.952,0.047,0.877,0.877,0.01,0.648,0.024,0.008,7,0.0
2834,797696,338.640791,-24.914544,0.00178,7.1,97.732,15.961,0.0012,17.322,0.007,14.811,0.003,870.7159,-52.11,0.168,-61.005,0.116,0.0,0.0,5.987,5.789,0.198,-0.735,5.813,0.022,2.097,2.096,0.007,0.644,0.023,0.008,7,0.0
2835,1579136,151.500509,60.161607,0.00119,7.102,178.825,14.772,0.0003,15.883,0.003,13.733,0.001,603.0535,-39.725,0.042,-9.718,0.05,0.0,0.0,1.685,1.295,0.39,-0.742,5.783,0.048,0.33,0.329,0.007,0.654,0.012,0.007,7,0.0
2836,1584384,275.324538,34.148006,0.00326,7.103,49.088,18.164,0.0018,20.056,0.087,16.832,0.006,1638.9975,-17.571,0.248,-20.879,0.293,0.0,0.0,1.94,1.669,0.271,-0.726,5.89,0.045,0.453,0.454,0.01,0.631,0.026,0.008,7,0.0
2837,4757632,105.673383,68.104396,0.00604,7.107,101.449,16.776,0.0006,18.235,0.007,15.587,0.001,3099.9951,-31.572,0.084,-107.261,0.106,0.0,0.0,2.655,2.201,0.454,-0.751,5.885,0.047,0.74,0.744,0.011,0.648,0.023,0.008,7,0.003
