,Gaia2,Gmag,bp_rp,bp_g,g_rp,ra,de,PDis,plx,Sep,pmRA,pmDE,Age,e_Age,PreAge,e_PreAge,CoolAge,feh,DM,Av,Nb,PCont,l,b
67,212990215646090496,16.205301000000002,2.3162203,1.2137547,1.1024656000000002,79.65671999999998,48.082272,0.00106,4.498,849.3072,22.06,-74.32,3.762,1.467,3.089,1.479,0.6729999999999999,-0.7659999999999999,6.733,0.071,7,0.0,161.061619344823,6.029943150221156
68,219685588624634752,15.250591,2.4595327,1.3236694,1.1358633,57.78605200000001,35.511657,0.00114,7.421,534.4206,-19.939,0.888,1.143,0.119,0.529,0.121,0.614,-0.7440000000000001,5.647,0.066,7,0.0,159.32988127016208,-14.362239386614617
69,229424581587834752,13.3131,1.2864475,0.5810232,0.7054243,64.14808199999999,42.990202,0.012819999999999998,4.239,10884.5604,0.8140000000000001,7.752999999999999,2.205,0.524,1.614,0.528,0.59,-0.715,7.124,0.105,7,0.094,157.9217371190789,-5.521013028941939
70,230247600399745920,9.58304,0.84756565,0.35623074,0.49133492,60.509133,40.368087,0.00504,3.414,5311.7659,20.607,-15.078,12.104,1.08,11.962,1.078,0.142,-1.39,7.937,0.258,7,0.016,157.72117760000341,-9.291590134444252
71,233298951330235520,12.579168,1.1402082,0.49870968,0.64149857,61.926259,45.03696400000001,0.00466,4.433,3786.7888,-21.103,-0.64,1.399,0.122,0.506,0.132,0.893,-0.685,6.8679999999999986,0.102,7,0.006,155.34385576520344,-5.129766462309071
72,235840678609579904,14.137624,1.272706,0.57089424,0.7018118,48.850676,39.805127,0.00494,2.835,6267.4551,13.829,-27.378,10.957,1.703,10.813,1.7009999999999998,0.14400000000000002,-1.237,7.871,0.07400000000000001,7,0.034,150.81727172839362,-15.146356219117155
73,238906391905717632,14.395838,2.0745363,1.0560617,1.0184746,48.078019,39.965871,0.00197,7.124,993.3265,13.673,-7.02,5.737,1.935,5.4929999999999986,1.933,0.244,-0.75,5.737,0.005,7,0.0,150.2094467793698,-15.329148753415888
74,239711131339660160,13.59379,1.7879496,0.8756980999999999,0.9122515,49.610747,42.2232,0.0105,7.8679999999999986,4802.5421,12.712,-45.082,11.445,1.64,10.316,1.644,1.129,-1.23,6.037000000000001,0.052000000000000005,7,0.009000000000000001,149.9578248093584,-12.805334869889169
75,240835038381154944,15.083963,2.7128792,1.5100193000000002,1.2028598999999998,47.958899,44.047566,0.00625,10.667,2108.5514,79.283,-38.671,8.991,2.546,7.103,2.585,1.888,-1.022,5.585,0.07400000000000001,7,0.0,147.9166010863056,-11.908016354858418
76,242769594732768128,12.854116,1.8173513,0.8946018,0.9227495,51.130379,46.42335900000001,0.00235,11.941,696.3741,119.911,-165.778,2.792,0.093,0.458,0.099,2.334,-0.7170000000000001,4.6160000000000005,0.132,7,0.0,148.5218187783743,-8.702677203165088
